Task,Instance,Frame 
1,1,1 
2,1,1 
3,1,1 
4,1,1 
3,2,2 
3,3,3 
4,3,3 
3,4,4 
3,5,5 
4,4,5 
1,2,6 
2,2,6 
3,6,6 
3,7,7 
4,5,7 
3,8,8 
4,5,8 
3,9,9 
3,10,10 
4,7,10 
1,3,11 
2,3,11 
3,11,11 
3,12,12 
4,8,12 
3,13,13 
3,14,14 
4,9,14 
3,15,15 
4,9,15 
1,4,16 
2,4,16 
3,16,16 
3,17,17 
4,11,17 
3,18,18 
3,19,19 
4,12,19 
3,20,20 
1,5,21 
2,5,21 
3,21,21 
4,13,21 
3,22,22 
4,13,22 
3,23,23 
3,24,24 
4,15,24 
3,25,25 
1,6,26 
2,6,26 
3,26,26 
4,16,26 
3,27,27 
3,28,28 
4,17,28 
3,29,29 
4,17,29 
3,30,30 
1,7,31 
2,7,31 
3,31,31 
4,19,31 
3,32,32 
3,33,33 
4,20,33 
3,34,34 
3,35,35 
4,21,35 
